,RUNS,WINNER,BAT
0,4,New Zealand,2
1,44,India,2
2,3,New Zealand,2
3,20,New Zealand,2
4,39,tied,0
5,79,New Zealand,1
6,4,New Zealand,2
7,14,India,2
8,15,New Zealand,2
9,13,India,2
10,11,New Zealand,2
11,70,India,1
