,WICKETS,ECONOMY,WINNER,BAT
0,3,5.00,India,1
1,1,5.20,India,2
2,2,5.44,India,2
3,2,6.60,India,2
4,3,3.00,India,2
5,0,5.20,New Zealand,2
6,0,6.25,New Zealand,2
7,1,4.70,tied,0
8,0,4.10,New Zealand,1
9,0,6.16,New Zealand,2
