,WICKETS,ECONOMY,WINNER,BAT
0,1,3.80,New Zealand,2
1,1,6.14,New Zealand,2
2,1,5.33,tied,0
3,0,6.20,New Zealand,1
4,1,6.00,New Zealand,2
