,RUNS,WINNER,BAT
0,59,India,1
1,2,India,2
2,81,India,2
3,0,India,2
4,22,West Indies,2
5,94,West Indies,1
6,3,India,2
7,117,India,2
8,20,West Indies,1
9,23,India,1
10,80,India,2
11,22,India,1
12,11,West Indies,2
13,102,India,1
14,86,India,2
15,99,West Indies,2
16,19,India,1
17,2,West Indies,0
18,62,India,1
19,127,India,2
