,RUNS,WINNER,BAT
0,38,India,2
1,9,India,2
2,11,West Indies,1
3,10,India,1
4,15,West Indies,2
5,2,India,1
6,10,West Indies,2
7,2,India,1
8,33,West Indies,0
9,6,India,1
10,2,India,2
