,RUNS,WINNER,BAT
0,51,India,2
1,3,India,2
2,4,India,2
3,11,West Indies,1
4,102,India,1
5,11,West Indies,2
6,69,India,1
7,5,India,2
8,35,West Indies,2
9,119,India,1
10,68,West Indies,0
11,1,India,1
12,35,India,2
