,WICKETS,ECONOMY,WINNER,BAT
0,1,4.00,India,1
1,1,5.14,West Indies,2
2,3,3.62,India,1
3,0,5.20,India,2
4,2,6.22,West Indies,2
5,1,5.25,India,1
6,0,3.80,West Indies,0
7,0,4.57,India,1
8,2,2.50,India,2
