,RUNS,WINNER,BAT
0,68,India,2
1,7,India,2
2,86,India,2
3,39,West Indies,2
4,57,West Indies,1
5,72,India,2
6,90,India,2
7,95,West Indies,1
8,27,India,1
9,21,India,2
10,52,India,1
11,60,West Indies,2
12,46,India,1
13,72,India,2
14,12,West Indies,2
15,4,India,1
