,WICKETS,ECONOMY,WINNER,BAT
0,0,3.80,India,2
1,4,3.10,India,2
2,3,2.80,India,2
3,2,5.60,West Indies,2
4,2,4.60,West Indies,1
5,1,7.20,West Indies,0
6,2,4.00,India,1
