,WINNER,BAT,MARGIN,VENUE,MATCH_ID,SCORE
0,India,2,3 wickets,Dambulla,http://www.espncricinfo.com/ci/engine/match/455234.html,271
1,India,1,29 runs,Mohali,http://www.espncricinfo.com/ci/engine/match/433605.html,260
2,India,2,6 wickets,Dhaka,http://www.espncricinfo.com/ci/engine/match/535798.html,330
3,Pakistan,1,6 wickets,Chennai,http://www.espncricinfo.com/ci/engine/match/589308.html,227
4,Pakistan,2,85 runs,Kolkata,http://www.espncricinfo.com/ci/engine/match/589309.html,165
5,India,1,10 runs,Delhi,http://www.espncricinfo.com/ci/engine/match/589310.html,167
6,India,2,8 wickets,Birmingham,http://www.espncricinfo.com/ci/engine/match/578623.html,102
7,Pakistan,1,1 wicket,Dhaka,http://www.espncricinfo.com/ci/engine/match/710301.html,245
