,RUNS,WINNER,BAT
0,31,tied,0
1,33,no result,0
2,6,England,1
3,69,England,1
4,78,tied,0
5,50,England,1
6,87,India,1
7,35,India,2
8,15,India,2
9,75,India,1
10,32,England,2
11,72,India,1
12,10,India,2
13,19,India,2
14,15,England,1
15,0,India,1
16,52,India,1
17,29,England,2
18,34,England,1
19,17,England,1
20,6,India,2
