,WICKETS,ECONOMY,WINNER,BAT
0,1,6.00,India,1
1,1,2.87,India,2
2,0,7.25,India,2
3,1,5.11,England,1
4,2,5.33,India,1
5,1,4.44,India,2
6,3,3.73,India,2
7,2,5.20,England,2
8,0,5.75,England,1
9,1,3.44,England,1
