,RUNS,WINNER,BAT
0,38,no result,0
1,40,England,1
2,21,England,1
3,84,tied,0
4,15,England,1
5,61,India,1
6,0,India,2
7,80,India,2
8,38,India,1
9,50,England,2
10,55,India,1
11,89,India,2
12,83,England,1
13,1,India,1
14,100,India,1
15,42,India,2
16,18,England,2
17,1,England,1
18,1,England,1
