,RUNS,WINNER,BAT
0,78,England,1
1,0,tied,0
2,0,England,1
3,27,India,1
4,26,India,2
5,21,India,1
6,7,England,2
7,61,India,1
8,21,India,2
9,39,England,1
10,33,India,1
11,9,India,1
12,12,India,2
13,87,England,2
14,5,England,1
15,13,India,2
