,RUNS,WINNER,BAT
0,51,tied,0
1,32,India,1
2,84,India,2
3,58,India,2
4,1,India,2
5,38,India,1
6,52,England,2
7,8,India,1
8,33,India,2
9,10,India,2
10,24,England,1
