,RUNS,WINNER,BAT
0,21,Australia,2
1,33,India,2
2,0,Australia,2
3,42,Australia,2
4,141,India,2
5,11,Australia,1
6,9,no result,0
7,79,India,2
8,209,India,1
9,138,Australia,1
10,34,Australia,2
11,171,Australia,1
12,124,Australia,1
13,6,Australia,1
14,41,Australia,2
15,99,India,2
