,RUNS,WINNER,BAT
0,71,India,2
1,34,India,2
2,4,Australia,2
3,38,India,2
4,28,Australia,2
5,8,Australia,2
6,39,Australia,2
7,17,Australia,1
8,16,India,2
9,28,India,1
10,51,Australia,1
11,7,Australia,2
