,RUNS,WINNER,BAT
0,118,India,2
1,24,India,2
2,31,Australia,2
3,18,India,2
4,12,Australia,2
5,21,Australia,2
6,61,Australia,2
7,100,India,2
8,68,Australia,1
9,115,India,2
10,0,India,1
11,9,Australia,1
12,3,no result,0
13,1,Australia,2
14,91,Australia,1
15,59,Australia,1
16,117,Australia,1
17,106,Australia,2
18,8,India,2
