,RUNS,WINNER,BAT
0,26,India,1
1,68,India,2
2,9,South Africa,2
3,25,South Africa,2
4,38,India,2
5,5,India,2
6,2,South Africa,1
7,5,South Africa,1
8,12,South Africa,2
9,27,India,2
10,65,South Africa,0
11,19,South Africa,1
12,18,India,1
13,31,South Africa,2
14,92,India,1
15,47,South Africa,2
