,WICKETS,ECONOMY,WINNER,BAT
0,2,4.40,South Africa,2
1,2,4.11,India,2
2,3,4.60,India,2
3,0,6.11,South Africa,1
4,2,5.22,South Africa,1
5,1,4.30,South Africa,2
