,RUNS,WINNER,BAT
0,48,South Africa,2
1,11,South Africa,2
2,9,India,2
3,23,India,2
4,1,South Africa,1
5,5,South Africa,1
6,65,India,2
7,18,South Africa,0
8,19,South Africa,1
9,0,India,1
10,150,South Africa,2
11,3,India,1
12,65,South Africa,2
