,WICKETS,ECONOMY,WINNER,BAT
0,2,7.50,India,2
1,0,7.50,South Africa,1
2,1,6.33,no result,2
3,0,5.66,India,1
4,2,7.10,South Africa,2
5,1,6.50,India,1
