,WICKETS,ECONOMY,WINNER,BAT
0,0,4.70,India,2
1,0,5.80,South Africa,0
2,1,5.33,South Africa,1
3,0,7.00,no result,2
4,3,4.10,India,1
5,1,3.00,South Africa,2
