,WICKETS,ECONOMY,WINNER,BAT
0,2,4.40,India,2
1,1,4.30,Sri Lanka,1
2,0,4.90,Sri Lanka,1
3,3,3.92,India,2
4,1,7.33,India,1
5,0,8.40,Sri Lanka,1
