,WICKETS,ECONOMY,WINNER,BAT
0,0,6.33,Sri Lanka,1
1,3,3.80,India,2
2,0,5.10,Sri Lanka,1
3,2,6.00,Sri Lanka,1
4,2,4.50,India,1
5,2,6.00,India,2
6,2,4.40,India,2
7,1,6.77,India,2
8,1,6.30,India,1
9,0,6.50,Sri Lanka,1
10,2,3.90,India,2
11,0,6.00,India,2
12,1,5.88,India,1
