,WICKETS,ECONOMY,WINNER,BAT
0,1,6.10,India,2
1,0,5.66,tied,0
2,1,7.25,Sri Lanka,2
3,0,7.00,India,2
4,2,7.60,India,1
5,0,9.50,Sri Lanka,1
6,0,3.75,India,2
7,0,8.00,Sri Lanka,2
8,1,6.00,India,1
9,2,3.78,India,2
10,2,5.40,India,2
11,4,5.88,India,1
12,2,4.75,India,2
