,RUNS,WINNER,BAT
0,48,India,2
1,18,India,2
2,27,Sri Lanka,1
3,40,Sri Lanka,1
4,66,India,1
5,10,India,2
6,9,Sri Lanka,1
7,0,Sri Lanka,2
8,22,Sri Lanka,2
9,12,India,1
10,23,India,1
11,4,Sri Lanka,1
