,WICKETS,ECONOMY,WINNER,BAT
0,2,3.55,India,2
1,2,4.73,Sri Lanka,1
2,2,6.75,Sri Lanka,2
3,3,3.66,India,2
4,0,7.55,Sri Lanka,2
5,2,4.25,India,1
6,2,5.62,India,1
7,4,4.25,India,2
8,0,5.80,India,2
9,0,3.50,India,1
